"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4546","EC-74: Check whether the size, color, and UI of different elements is matching the specifications or not (Qase ID: 74)","chromium","2026-01-30","passed","2026-01-30","","LoginTests/EC-74.spec.js","",""
"","7753","EC-547: Check whether the Validate JWT Configuration button is disabled before saving (Qase ID: 547)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-547.spec.js","",""
"","8445","EC-520: Check whether user is able to select Backend to Backend integration type (Qase ID: 520)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-520.spec.js","",""
"","7948","EC-480: Check whether user is able to see Add New Connections button (Qase ID: 480)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-480.spec.js","",""
"","7542","EC-161: Check whether user is able to edit V2 scopes (Qase ID: 161)","chromium","2026-01-30","passed","2026-01-30","","EditConnectionTests/EC-161.spec.js","",""
"","7578","EC-532: Check whether the Client ID field is marked as mandatory (Qase ID: 532)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-532.spec.js","",""
"","4713","EC-260: Check whether user is able to see View Connections button or not (Qase ID: 260)","chromium","2026-01-30","passed","2026-01-30","","DashboardTests/EC-260.spec.js","",""
"","7670","EC-544: Check whether the Generate New Keypair button is displayed (Qase ID: 544)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-544.spec.js","",""
"","7773","EC-499: Check whether pagination controls are displayed when the number of connections exceeds the page limit (Qase ID: 499)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-499.spec.js","",""
"","9482","EC-112: Check whether user is able to click on Add Standalone Connection button or not (Qase ID: 112)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-112.spec.js","",""
"","10637","EC-552: Check whether user is able to select SMART on FHIR Embed integration type (Qase ID: 552)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-552.spec.js","",""
"","11508","EC-116: Check whether user is able to see Description field or not (Qase ID: 116)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-116.spec.js","",""
"","9245","EC-113: Check whether user is able to see Add Standalone Connection form/modal or not (Qase ID: 113)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-113.spec.js","",""
"","11923","EC-122: Check whether user is able to see Client ID field or not (Qase ID: 122)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-122.spec.js","",""
"","7529","EC-153: Check whether user is able to edit Base url (Qase ID: 153)","chromium","2026-01-30","passed","2026-01-30","","EditConnectionTests/EC-153.spec.js","",""
"","7662","EC-533: Check whether the Client ID field accepts valid input (Qase ID: 533)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-533.spec.js","",""
"","9953","EC-567: Check whether the Client Secret field is optional (Qase ID: 567)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-567.spec.js","",""
"","9552","EC-581: Check whether disabled fields (EHR System, Connection Type, EHR Launch URL, OAuth Callback URL) cannot be edited (Qase ID: 581)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-581.spec.js","",""
"","9201","EC-141: Check whether Connection Name field accepts special characters or not (Qase ID: 141)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-141.spec.js","",""
"","7921","EC-501: Check whether the Next button is disabled on the last page (Qase ID: 501)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-501.spec.js","",""
"","9571","EC-560: Check whether a validation message is displayed when Connection Name is left empty (Qase ID: 560)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-560.spec.js","",""
"","9580","EC-565: Check whether the Client ID field accepts valid input (Qase ID: 565)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-565.spec.js","",""
"","1751","EC-87: Check whether user can enter only numbers in Password field (Qase ID: 87)","chromium","2026-01-30","passed","2026-01-30","","LoginTests/EC-87.spec.js","",""
"","7947","EC-147: Check whether user is able to click on Manage button of added connection (Qase ID: 147)","chromium","2026-01-30","passed","2026-01-30","","EditConnectionTests/EC-147.spec.js","",""
"","1661","EC-79: Check whether the user can enter characters more than specified range in Username field (Qase ID: 79)","chromium","2026-01-30","passed","2026-01-30","","LoginTests/EC-79.spec.js","",""
"","4841","EC-255: Check whether user is able to see Workflows option or not (Qase ID: 255)","chromium","2026-01-30","passed","2026-01-30","","DashboardTests/EC-255.spec.js","",""
"","9259","EC-142: Check whether Connection Name field has character limit or not (Qase ID: 142)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-142.spec.js","",""
"","7673","EC-484: Check whether user is able to see search box (Qase ID: 484)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-484.spec.js","",""
"","7599","EC-482: Check whether user is able to click on Add New Connection button (Qase ID: 482)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-482.spec.js","",""
"","7633","EC-530: Check whether Connection Type is prefilled as Service Auth (Qase ID: 530)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-530.spec.js","",""
"","4777","EC-256: Check whether user is able to see Audit Logs option or not (Qase ID: 256)","chromium","2026-01-30","passed","2026-01-30","","DashboardTests/EC-256.spec.js","",""
"","11340","EC-128: Check whether user is able to see Scope field or not (Qase ID: 128)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-128.spec.js","",""
"","7839","EC-169: Check if wrong connection name is entered then Delete connection button stays disabled (Qase ID: 169)","chromium","2026-01-30","passed","2026-01-30","","DeleteConnectionTests/EC-169.spec.js","",""
"","8523","EC-479: Check whether user is able to see Connections page UI properly (Qase ID: 479)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-479.spec.js","",""
"","7714","EC-539: Check whether the JWT Bearer Authentication section is displayed (Qase ID: 539)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-539.spec.js","",""
"","7847","EC-506: Check whether clicking the Next button navigates to the immediate next page (Qase ID: 506)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-506.spec.js","",""
"","11369","EC-120: Check whether user is able to see Base URL field or not (Qase ID: 120)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-120.spec.js","",""
"","9549","EC-558: Check whether the Connection Name input field is displayed (Qase ID: 558)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-558.spec.js","",""
"","7522","EC-170: Check whether user is able to Delete the Connection (Qase ID: 170)","chromium","2026-01-30","passed","2026-01-30","","DeleteConnectionTests/EC-170.spec.js","",""
"","7980","EC-526: Check whether the Connection Name input field is displayed (Qase ID: 526)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-526.spec.js","",""
"","10573","EC-579: Check whether the form is successfully submitted when all mandatory fields are filled with valid data (Qase ID: 579)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-579.spec.js","",""
"","4766","EC-263: Check whether user is able to see Active Connections count on dashboard (Qase ID: 263)","chromium","2026-01-30","passed","2026-01-30","","DashboardTests/EC-263.spec.js","",""
"","11294","EC-139: Check whether validation errors are shown for required fields or not (Qase ID: 139)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-139.spec.js","",""
"","7625","EC-163: Check whether user is able to click on Save Changes button (Qase ID: 163)","chromium","2026-01-30","passed","2026-01-30","","EditConnectionTests/EC-163.spec.js","",""
"","2808","EC-77: Check whether the user is able to Log In without entering Username (Qase ID: 77)","chromium","2026-01-30","passed","2026-01-30","","LoginTests/EC-77.spec.js","",""
"","10017","EC-121: Check whether user is able to enter Base URL or not (Qase ID: 121)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-121.spec.js","",""
"","7995","EC-481: Check whether user is able to click on Add New Connections button (Qase ID: 481)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-481.spec.js","",""
"","8660","EC-531: Check whether the Client ID field is displayed (Qase ID: 531)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-531.spec.js","",""
"","7562","EC-537: Check whether OAuth Token URL automatically gets generated after clicking on Auto-detect button (Qase ID: 537)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-537.spec.js","",""
"","1771","EC-89: Check whether user can enter password starting with space in Password field (Qase ID: 89)","chromium","2026-01-30","passed","2026-01-30","","LoginTests/EC-89.spec.js","",""
"","9408","EC-578: Check whether the warning message to register the callback URL with Epic is displayed (Qase ID: 578)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-578.spec.js","",""
"","7674","EC-158: Check whether user is able to see all the scopes when clicked on available scopes (Qase ID: 158)","chromium","2026-01-30","passed","2026-01-30","","EditConnectionTests/EC-158.spec.js","",""
"","9401","EC-144: Check whether user can clear all fields after entering data or not (Qase ID: 144)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-144.spec.js","",""
"","7534","EC-516: Check that when user selects 100 from items-per-page, it will show 100 connections (Qase ID: 516)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-516.spec.js","",""
"","9921","EC-569: Check whether helper text for Client Secret is displayed (Qase ID: 569)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-569.spec.js","",""
